                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70317,                 3.9473,                0.86009,                0.75031,                 6.1174,                0.90797,                    nan,                0.00833,                0.00204,                0.00184,                      0,                      0,                      0,                      0,                      0,                      0,                0.07624,                0.00024,                0.00024
                      2,                0.68413,                 3.9333,                0.85974,                0.70905,                 4.9766,                0.89321,                    nan,                0.00833,                0.00164,                0.00148,                      0,                      0,                      0,                      0,                      0,                      0,               0.051485,             0.00048515,             0.00048515
                      3,                0.66523,                 3.8571,                0.86774,                0.68106,                 4.7941,                 0.8929,                    nan,                0.00833,                0.00204,                0.00183,                      0,                      0,                      0,                      0,                      0,                      0,               0.026725,             0.00072535,             0.00072535
                      4,                 0.6855,                 3.7509,                0.87905,                0.70594,                 4.3319,                0.92184,                    nan,                0.00833,                0.00798,                0.00718,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019606,              0.0009606,              0.0009606
                      5,                0.66624,                 3.6898,                0.86989,                0.66944,                 4.1622,                 0.8879,                    nan,                0.00833,                0.00798,                0.00718,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009604,              0.0009604,              0.0009604
                      6,                0.67895,                 3.7232,                0.86812,                0.67334,                 4.0999,                0.89689,                    nan,                0.00833,                0.00798,                0.00718,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009604,              0.0009604,              0.0009604
                      7,                 0.6987,                 3.6027,                 0.8532,                0.69108,                 3.7781,                0.88616,                    nan,                0.00833,                0.00798,                0.00718,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009505,              0.0009505,              0.0009505
                      8,                0.72235,                 3.6512,                0.86451,                0.69536,                  3.688,                0.89499,                    nan,                0.00833,                0.00798,                0.00718,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009406,              0.0009406,              0.0009406
                      9,                0.68445,                 3.5362,                0.86924,                0.66168,                 3.3829,                0.90241,                    nan,                0.00833,                0.00798,                0.00718,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009307,              0.0009307,              0.0009307
                     10,                0.69266,                 3.4116,                0.86184,                0.66394,                 3.3707,                0.90531,                    nan,                0.01875,                0.00861,                0.00762,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009208,              0.0009208,              0.0009208
                     11,                0.71752,                 3.3394,                0.86892,                 0.7227,                  3.123,                0.90293,                    nan,                0.01875,                0.00873,                0.00771,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009109,              0.0009109,              0.0009109
                     12,                 0.7293,                 3.3547,                0.87136,                0.72966,                 3.1416,                0.91327,                    nan,                0.01875,                0.00884,                0.00795,                      0,                      0,                      0,                      0,                      0,                      0,               0.000901,               0.000901,               0.000901
                     13,                0.66651,                 3.2374,                0.85933,                0.65425,                 2.9273,                0.89366,                    nan,                0.01875,                 0.0089,                0.00801,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008911,              0.0008911,              0.0008911
                     14,                0.64944,                 3.1417,                0.84254,                0.66772,                 2.8537,                0.87172,                    nan,                0.01875,                0.00884,                0.00795,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008812,              0.0008812,              0.0008812
                     15,                0.66721,                 3.0388,                0.85993,                0.66591,                 2.8003,                0.88755,                    nan,                0.01875,                0.00919,                0.00827,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008713,              0.0008713,              0.0008713
                     16,                0.64174,                  2.996,                0.84394,                 0.6576,                 2.6577,                0.88224,                    nan,                0.01875,                 0.0089,                0.00801,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008614,              0.0008614,              0.0008614
                     17,                0.65197,                 2.9038,                0.85622,                0.68913,                 2.5528,                0.89347,                    nan,                0.01875,                0.00523,                0.00471,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008515,              0.0008515,              0.0008515
                     18,                0.60251,                 2.8033,                0.85418,                0.63921,                 2.5332,                 0.8903,                    nan,                0.01875,                0.00523,                0.00471,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008416,              0.0008416,              0.0008416
