                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.38558,                 0.3917,                  0.798,                0.44177,                0.51236,                0.81073,                0.92267,                0.93016,                0.97089,                0.88647,                      0,                      0,                      0,                      0,                      0,                      0,               0.067008,             0.00033325,             0.00033325
                      2,                0.28557,                0.23661,                0.78813,                0.32784,                0.24405,                0.79346,                 0.9466,                 0.9324,                 0.9822,                0.91839,                      0,                      0,                      0,                      0,                      0,                      0,               0.033953,             0.00061159,             0.00061159
                      3,                0.25999,                 0.2139,                0.78549,                0.29235,                0.20588,                0.79068,                0.95909,                0.93539,                0.98317,                0.93018,                      0,                      0,                      0,                      0,                      0,                      0,             0.00084323,             0.00083493,             0.00083493
                      4,                0.23337,                0.19445,                0.78286,                0.26124,                0.17675,                0.78696,                0.96611,                0.94776,                 0.9868,                0.93903,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007525,              0.0007525,              0.0007525
                      5,                0.22595,                0.18931,                0.78212,                0.25399,                0.16843,                0.78699,                0.96447,                0.96169,                0.99003,                0.94961,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007525,              0.0007525,              0.0007525
                      6,                0.21395,                0.17757,                0.78006,                 0.2386,                0.15337,                0.78365,                0.96016,                0.95211,                0.98925,                0.95271,                      0,                      0,                      0,                      0,                      0,                      0,                0.00067,                0.00067,                0.00067
                      7,                0.20268,                0.16732,                0.77888,                 0.2264,                 0.1418,                0.78254,                0.96527,                0.95572,                0.98748,                0.94863,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005875,              0.0005875,              0.0005875
                      8,                0.19216,                0.15903,                0.77823,                0.21495,                0.13236,                0.78121,                 0.9691,                0.96486,                0.98819,                0.95736,                      0,                      0,                      0,                      0,                      0,                      0,               0.000505,               0.000505,               0.000505
                      9,                0.17788,                0.14848,                0.77674,                0.19888,                  0.122,                0.77903,                0.97631,                0.95988,                0.98943,                0.96299,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004225,              0.0004225,              0.0004225
                     10,                0.16813,                0.14142,                0.77536,                0.18853,                0.11652,                0.77744,                0.97543,                0.96317,                0.98956,                0.96454,                      0,                      0,                      0,                      0,                      0,                      0,                0.00034,                0.00034,                0.00034
                     11,                0.15862,                  0.132,                0.77454,                0.17691,                0.10569,                0.77705,                0.97724,                0.96597,                0.99079,                0.96574,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002575,              0.0002575,              0.0002575
